time,x,y
1/3/2022,10.45600033,11340948
1/4/2022,10.69999981,51878743
1/5/2022,10.89999962,24976847
1/6/2022,11.02999973,11476599
1/7/2022,10.96000004,5794599
1/10/2022,10.85000038,4189280
1/11/2022,10.75599957,4247483
1/12/2022,10.98400021,8870360
1/13/2022,11.08600044,4061481
1/14/2022,11.18000031,4262272
1/17/2022,11.20400047,19565377
1/18/2022,11.19999981,56757167
1/19/2022,11.06599998,34217683
1/20/2022,11.07400036,23003012
1/21/2022,10.68999958,24737724
1/24/2022,10.60599995,10941715
1/25/2022,10.34399986,10805458
1/26/2022,10.78999996,8075117
1/27/2022,10.86800003,6940069
1/28/2022,11.24400043,6204112
1/31/2022,11.24400043,6169195
2/1/2022,11.28600025,9446366
2/2/2022,11.3760004,6374473
2/3/2022,11.32600021,5208055
2/4/2022,11.42000008,7607950
2/7/2022,11.54800034,6036712
2/8/2022,11.57199955,6494862
2/9/2022,11.61999989,8113736
2/10/2022,11.54800034,6151859
2/11/2022,11.6260004,6428439
2/14/2022,11.75399971,8362112
2/15/2022,11.59000015,8139495
2/16/2022,11.66399956,8155716
2/17/2022,11.84399986,8114343
2/18/2022,11.87800026,7709619
2/21/2022,11.73999977,5171870
2/22/2022,11.40999985,6924845
2/23/2022,11.47399998,6680005
2/24/2022,11.07999992,13349172
2/25/2022,11.21000004,9058029
2/28/2022,11.44999981,13472862
3/1/2022,11.69999981,9146984
3/2/2022,12,14960005
3/3/2022,12.30799961,19956964
3/4/2022,11.93000031,12203037
3/7/2022,11.44999981,17131496
3/8/2022,12.04800034,10553439
3/9/2022,12.24199963,15514946
3/10/2022,11.79599953,8048141
3/11/2022,11.69999981,10953044
3/14/2022,11.63599968,8889217
3/15/2022,11.35000038,7791864
3/16/2022,11.60000038,10864520
3/17/2022,11.33600044,7039284
3/18/2022,11.60000038,15595515
3/21/2022,11.25,9412952
3/22/2022,11.69999981,4852844
3/23/2022,11.86200047,7940775
3/24/2022,12.07400036,7738390
3/25/2022,11.99800014,4335122
3/28/2022,12.08199978,16686343
3/29/2022,12,6530273
3/30/2022,11.89999962,4696618
3/31/2022,11.92199993,5251275
4/1/2022,11.80000019,4753153
4/4/2022,12,6647661
4/5/2022,11.98999977,9687630
4/6/2022,12.30000019,6195618
4/7/2022,12.30000019,9457273
4/8/2022,12.35000038,12854634
4/11/2022,12.80000019,6115807
4/12/2022,12.68000031,10011614
4/13/2022,13.24499989,23609735
4/14/2022,13.64999962,6350740
4/19/2022,13.79500008,14694253
4/20/2022,13.68500042,11462853
4/21/2022,13.64999962,7636432
4/22/2022,13.52999973,8472986
4/25/2022,12.83500004,9003008
4/26/2022,12.77499962,5602585
4/27/2022,12.59500027,7245697
4/28/2022,12.97500038,8875801
4/29/2022,13.76500034,18852636
5/2/2022,14.07999992,7604085
5/3/2022,14.14500046,6036623
5/4/2022,14.05500031,7605514
5/5/2022,14.56000042,10512567
5/6/2022,14.39999962,10325420
5/9/2022,14.57999992,38542128
5/10/2022,13.64999962,9106538
5/11/2022,13.72500038,5495358
5/12/2022,13.93000031,4897317
5/13/2022,14.15499973,3726487
5/16/2022,14.05500031,5529766
5/17/2022,14.5,6439375
5/18/2022,14.75,7055799
5/19/2022,14.60999966,5227429
5/20/2022,14.59500027,6414647
5/23/2022,14.72999954,8542757
5/24/2022,14.47999954,8562284
5/25/2022,14.80000019,13550161
5/26/2022,15,7774634
5/27/2022,15.02000046,8011877
5/30/2022,14.93999958,11107084
5/31/2022,14.94999981,20877928
6/1/2022,15.05500031,10109344
6/2/2022,14.93999958,4547242
6/3/2022,15,3833736
6/6/2022,15.31999969,3969692
6/7/2022,15.39999962,6943864
6/8/2022,15.95499992,4691076
6/9/2022,15.94999981,6874232
6/10/2022,15.73499966,7598331
6/13/2022,15.27000046,8951877
6/14/2022,15.21000004,4942145
6/15/2022,15.29500008,11771428
6/16/2022,14.94499969,13878650
6/17/2022,14.39999962,18935339
6/20/2022,13.76000023,4097982
6/21/2022,14.18000031,6852123
6/22/2022,13.96000004,7489873
6/23/2022,13.64000034,6703082
6/24/2022,13.50500011,16367245
6/27/2022,13.79500008,9030698
6/28/2022,14,11165774
6/29/2022,14.21500015,11508606
6/30/2022,14.03999996,4629074
7/1/2022,13.89999962,5831423
7/4/2022,13.83500004,5058785
7/5/2022,13.53999996,9056039
7/6/2022,12.85000038,6130635
7/7/2022,12.72500038,5060702
7/8/2022,13.10000038,14033450
7/11/2022,12.80500031,16449671
7/12/2022,12.88000011,24389927
7/13/2022,12.07499981,22608930
7/14/2022,12.13000011,12446567
7/15/2022,11.95499992,5722933
7/18/2022,12.00500011,3849808
7/19/2022,12,5733650
7/20/2022,12.26500034,2459427
7/21/2022,12.10499954,6646965
